model_year,paint_color,count,count_total,percentage
1908,black,1,2,50.0
1908,white,1,2,50.0
1929,silver,1,1,100.0
1936,purple,1,1,100.0
1948,red,1,1,100.0
1949,orange,1,1,100.0
1954,black,1,1,100.0
1955,blue,1,1,100.0
1958,unknown,1,2,50.0
1958,black,1,2,50.0
1960,unknown,1,3,33.33
1960,custom,1,3,33.33
1960,white,1,3,33.33
1961,red,1,1,100.0
1962,unknown,1,3,33.33
1962,blue,1,3,33.33
1962,white,1,3,33.33
1963,red,1,3,33.33
1963,unknown,2,3,66.67
1964,silver,1,7,14.29
1964,custom,1,7,14.29
1964,white,1,7,14.29
1964,red,4,7,57.14
1965,custom,1,10,10.0
1965,black,2,10,20.0
1965,unknown,1,10,10.0
1965,red,4,10,40.0
1965,blue,2,10,20.0
1966,blue,2,23,8.7
1966,unknown,5,23,21.74
1966,white,4,23,17.39
1966,yellow,2,23,8.7
1966,silver,1,23,4.35
1966,red,6,23,26.09
1966,green,1,23,4.35
1966,black,2,23,8.7
1967,blue,4,7,57.14
1967,green,1,7,14.29
1967,red,1,7,14.29
1967,unknown,1,7,14.29
1968,blue,1,16,6.25
1968,custom,3,16,18.75
1968,green,2,16,12.5
1968,silver,1,16,6.25
1968,unknown,2,16,12.5
1968,white,1,16,6.25
1968,yellow,6,16,37.5
1969,blue,1,10,10.0
1969,custom,1,10,10.0
1969,green,1,10,10.0
1969,orange,1,10,10.0
1969,red,1,10,10.0
1969,unknown,2,10,20.0
1969,white,2,10,20.0
1969,yellow,1,10,10.0
1970,blue,1,10,10.0
1970,green,2,10,20.0
1970,orange,1,10,10.0
1970,red,2,10,20.0
1970,unknown,1,10,10.0
1970,white,1,10,10.0
1970,yellow,2,10,20.0
1971,blue,2,7,28.57
1971,brown,1,7,14.29
1971,green,1,7,14.29
1971,orange,1,7,14.29
1971,unknown,1,7,14.29
1971,yellow,1,7,14.29
1972,blue,1,5,20.0
1972,red,2,5,40.0
1972,unknown,1,5,20.0
1972,white,1,5,20.0
1973,blue,2,15,13.33
1973,green,3,15,20.0
1973,red,5,15,33.33
1973,silver,1,15,6.67
1973,unknown,1,15,6.67
1973,white,2,15,13.33
1973,yellow,1,15,6.67
1974,blue,1,4,25.0
1974,orange,1,4,25.0
1974,red,2,4,50.0
1975,green,1,7,14.29
1975,grey,1,7,14.29
1975,orange,1,7,14.29
1975,silver,2,7,28.57
1975,unknown,2,7,28.57
1976,unknown,1,3,33.33
1976,white,2,3,66.67
1977,black,1,13,7.69
1977,blue,2,13,15.38
1977,brown,1,13,7.69
1977,custom,1,13,7.69
1977,grey,1,13,7.69
1977,orange,1,13,7.69
1977,unknown,4,13,30.77
1977,yellow,2,13,15.38
1978,blue,2,15,13.33
1978,brown,2,15,13.33
1978,custom,1,15,6.67
1978,red,1,15,6.67
1978,silver,5,15,33.33
1978,unknown,4,15,26.67
1979,black,3,19,15.79
1979,blue,4,19,21.05
1979,brown,1,19,5.26
1979,green,1,19,5.26
1979,orange,1,19,5.26
1979,red,5,19,26.32
1979,silver,1,19,5.26
1979,white,3,19,15.79
1980,black,1,12,8.33
1980,blue,1,12,8.33
1980,brown,1,12,8.33
1980,custom,2,12,16.67
1980,silver,1,12,8.33
1980,unknown,5,12,41.67
1980,yellow,1,12,8.33
1981,black,1,10,10.0
1981,blue,2,10,20.0
1981,brown,1,10,10.0
1981,grey,2,10,20.0
1981,red,2,10,20.0
1981,unknown,1,10,10.0
1981,white,1,10,10.0
1982,blue,3,9,33.33
1982,custom,1,9,11.11
1982,silver,1,9,11.11
1982,white,1,9,11.11
1982,unknown,3,9,33.33
1983,white,2,7,28.57
1983,silver,1,7,14.29
1983,blue,1,7,14.29
1983,black,1,7,14.29
1983,custom,1,7,14.29
1983,brown,1,7,14.29
1984,red,3,20,15.0
1984,white,1,20,5.0
1984,unknown,6,20,30.0
1984,silver,1,20,5.0
1984,blue,6,20,30.0
1984,brown,1,20,5.0
1984,black,2,20,10.0
1985,black,1,18,5.56
1985,unknown,3,18,16.67
1985,red,5,18,27.78
1985,grey,2,18,11.11
1985,white,5,18,27.78
1985,blue,2,18,11.11
1986,brown,2,39,5.13
1986,white,2,39,5.13
1986,yellow,1,39,2.56
1986,silver,1,39,2.56
1986,blue,8,39,20.51
1986,black,7,39,17.95
1986,unknown,6,39,15.38
1986,purple,2,39,5.13
1986,red,8,39,20.51
1986,grey,2,39,5.13
1987,black,7,31,22.58
1987,white,2,31,6.45
1987,blue,4,31,12.9
1987,custom,2,31,6.45
1987,brown,1,31,3.23
1987,red,7,31,22.58
1987,silver,4,31,12.9
1987,unknown,3,31,9.68
1987,grey,1,31,3.23
1988,black,6,40,15.0
1988,white,9,40,22.5
1988,brown,1,40,2.5
1988,blue,4,40,10.0
1988,grey,2,40,5.0
1988,red,4,40,10.0
1988,silver,1,40,2.5
1988,custom,2,40,5.0
1988,unknown,11,40,27.5
1989,unknown,12,58,20.69
1989,blue,10,58,17.24
1989,black,6,58,10.34
1989,green,1,58,1.72
1989,grey,3,58,5.17
1989,red,11,58,18.97
1989,brown,3,58,5.17
1989,white,12,58,20.69
1990,orange,1,58,1.72
1990,green,1,58,1.72
1990,grey,2,58,3.45
1990,brown,2,58,3.45
1990,blue,7,58,12.07
1990,black,9,58,15.52
1990,custom,2,58,3.45
1990,silver,2,58,3.45
1990,unknown,10,58,17.24
1990,red,16,58,27.59
1990,white,6,58,10.34
1991,blue,10,51,19.61
1991,brown,2,51,3.92
1991,black,3,51,5.88
1991,green,4,51,7.84
1991,yellow,1,51,1.96
1991,red,14,51,27.45
1991,grey,2,51,3.92
1991,white,7,51,13.73
1991,unknown,8,51,15.69
1992,black,1,57,1.75
1992,blue,6,57,10.53
1992,brown,1,57,1.75
1992,red,18,57,31.58
1992,green,2,57,3.51
1992,purple,1,57,1.75
1992,grey,2,57,3.51
1992,white,14,57,24.56
1992,unknown,11,57,19.3
1992,yellow,1,57,1.75
1993,unknown,22,108,20.37
1993,silver,4,108,3.7
1993,white,10,108,9.26
1993,purple,2,108,1.85
1993,red,19,108,17.59
1993,custom,2,108,1.85
1993,grey,5,108,4.63
1993,green,12,108,11.11
1993,blue,12,108,11.11
1993,black,16,108,14.81
1993,brown,4,108,3.7
1994,white,23,118,19.49
